Track,Frequency,Note,Key,Channel,Port
2,142560, Note_on_c,1,79,88,0
2,142800, Note_on_c,1,77,88,0
2,142860, Note_off_c,1,79,64,0
2,143208, Note_off_c,1,77,64,0
2,143280, Note_on_c,1,72,88,0
2,143400, Note_on_c,1,74,88,0
2,143476, Note_off_c,1,72,64,0
2,143648, Note_off_c,1,74,64,0
2,144240, Note_on_c,1,72,88,0
2,144420, Note_off_c,1,72,64,0
2,144480, Note_on_c,1,74,88,0
2,144720, Note_on_c,1,72,88,0
2,144752, Note_off_c,1,74,64,0
2,144984, Note_off_c,1,72,64,0
2,145200, Note_on_c,1,65,88,0
2,145320, Note_on_c,1,67,88,0
2,145340, Note_off_c,1,65,64,0
2,145560, Note_on_c,1,65,88,0
2,145580, Note_off_c,1,65,64,0
2,145744, Note_off_c,1,67,64,0
2,145800, Note_on_c,1,70,88,0
2,146044, Note_off_c,1,70,64,0
2,146880, Note_on_c,1,74,88,0
2,148960, Note_off_c,1,74,64,0
2,149040, Note_on_c,1,72,88,0
2,149228, Note_off_c,1,72,64,0
2,149280, Note_on_c,1,74,88,0
2,149520, Note_on_c,1,72,88,0
2,149568, Note_off_c,1,74,64,0
2,149856, Note_off_c,1,72,64,0
2,150000, Note_on_c,1,65,88,0
2,150192, Note_off_c,1,65,64,0
2,150240, Note_on_c,1,67,88,0
2,150480, Note_on_c,1,70,88,0
2,150588, Note_off_c,1,67,64,0
2,151692, Note_off_c,1,70,64,0
2,151920, Note_on_c,1,72,88,0
2,152120, Note_off_c,1,72,64,0
2,152160, Note_on_c,1,74,88,0
2,152400, Note_on_c,1,72,88,0
2,152480, Note_off_c,1,74,64,0
2,152724, Note_off_c,1,72,64,0
2,153120, Note_on_c,1,65,88,0
2,153360, Note_on_c,1,67,88,0
2,153440, Note_off_c,1,65,64,0
2,153600, Note_on_c,1,70,88,0
2,153668, Note_off_c,1,67,64,0
2,156720, Note_on_c,1,72,88,0
2,156736, Note_off_c,1,70,64,0
2,156840, Note_on_c,1,74,88,0
2,156908, Note_off_c,1,72,64,0
2,157044, Note_off_c,1,74,64,0
2,157680, Note_on_c,1,77,88,0
2,157852, Note_off_c,1,77,64,0
2,158160, Note_on_c,1,77,88,0
2,159172, Note_off_c,1,77,64,0
2,159600, Note_on_c,1,72,88,0
2,159840, Note_on_c,1,74,88,0
2,159976, Note_off_c,1,72,64,0
2,160080, Note_on_c,1,72,88,0
2,160168, Note_off_c,1,74,64,0
2,160444, Note_off_c,1,72,64,0
2,160800, Note_on_c,1,65,88,0
2,161040, Note_on_c,1,67,88,0
2,161068, Note_off_c,1,65,64,0
2,161280, Note_on_c,1,70,88,0
2,161428, Note_off_c,1,67,64,0
2,164620, Note_off_c,1,70,64,0
2,179076, Note_on_c,1,72,88,0
2,179300, Note_on_c,1,74,88,0
2,179324, Note_off_c,1,72,64,0
2,179576, Note_off_c,1,74,64,0
2,179780, Note_on_c,1,70,88,0
2,179936, Note_off_c,1,70,64,0
2,179944, Note_on_c,1,72,88,0
2,180168, Note_off_c,1,72,64,0
2,180416, Note_on_c,1,70,88,0
2,180540, Note_on_c,1,67,88,0
